Exam Name,Exam Post,Vacancy,Application Start Date,Application End Date
Department of Post (India Post),Gramin Dak Sevak GDS Recruitment 2017-2018,,Last Date,
Bank of Baroda BOB,Specialist Officer SO Recruitment 2018,913,5/12/2018,26/12/2018
Exam Regulatory Authority Uttar Pradesh,UP 69000 Assistant Teacher Recruitment 2019,69000,6/12/2018,22/12/2018 upto 0600 PM Only
Career Indian Air Force Recruitment 2019,Airforce Common Admission Online Test (AFCAT 01/2019),,1/12/2018,30/12/2018
"North Central Railway (NCR), Allahabad",Various Trade Apprentice Recruitment 2018,703,30/11/2018,30/12/2018 upto 0500 PM Only
"North Western Railway (NWR), Jaipur",Various Trade Apprentice Recruitment 2018,2090,30/11/2018,30/12/2018 upto 0500 PM Only
"North Eastern Railway (NER), Gorakhpur",Various Trade Apprentice Recruitment 2018,745,30/11/2018,29/12/2018 upto 0500 PM Only
"Public Health Engineering Department, PHED Bihar",Assistant Engineer Recruitment 2018,70,26/11/2018,15/12/2018
"JPSC â Jharkhand Public Service Commission, Ranchi",JPSC Civil Judge PCS J Recruitment 2018,107,24/11/2018,24/12/2018 upto 1145 PM
"North Central Railway NCR, Prayagraj",Jhansi Division Various Trade Apprentice Recruitment 2018,446,23/11/2018,17/12/2018
"Board of Secondary Education, Haryana",Haryana Teacher Eligibility Test (HTET 2018),,19/11/2018,3/12/2018
Uttar Pradesh Police Recruitment and Promotion Board (UP PRPB),Male / Female Constable Phase II Recruitment October 2018,49568,19/11/2018,8/12/2018
Bihar Public Service Commission (BPSC),Child Development Project Officer (CDPO) Recruitment 2017,30,12/9/2017,10/10/2017
Employee State Insurance Corporation Delhi,ESIC Delhi Junior Engineer Recruitment 2018,79,16/11/2018,15/12/2018
<title>Rajasthan High Court Civil Judge Answer Key 2019,<title>Rajasthan High Court Civil Judge Answer Key 2019,197,26/11/2018,5/1/2019
High Court of Judicature at Allahabad (Prayagraj) ,Civil Court Various Post Recruitment 2018,3495,6/12/2018,26/12/2018
Gail India Limited,Various Post Recruitment 2018,160,14/11/2018,30/11/2018
"High Court of Delhi, New Delhi",Delhi Judicial Service Recruitment Examination 2018,147,22/11/2018,12/12/2018
"MPHC â High Court of Madhya Pradesh, Jabalpur",Assistant Grade AG III Recruitment 2018,49,14/11/2018,14/12/2018
High Court of Judicature at Allahabad,Higher Judicial Service HJS Part II Recruitment 2018,59,15/11/2018,14/12/2018
National Insurance Company Ltd (NICL),Account Apprentice Recruitment 2018,150,13/11/2018,27/11/2018
RBI â Reserve Bank of India,Security Guard in Various Officies Recruitment 2018,270,9/11/2018,30/11/2018
Uttar Pradesh Subordinate Service Selection,Junior Assistant Recruitment 2016 Online Form,5306,16-Feb,7/3/2016
Electricity Service Commission (ESC),UPPCL Assistant Engineer Recruitment 2018,299,6/11/2018,30/11/2018
Uttar Pradesh University of Medical Science (UPUMS),Staff Nurse Recruitment 2018,100,18-Oct,12/11/2018
Join Indian Coast Guard,Assistant Commandant AC Men and Women Group A Recruitment 2018,,18/11/2018,30/11/2018 upto 0500 PM Only
"Bihar Public Service Commission, Patna",BPSC Bihar Account Officer Recruitment 2018,32,27/11/2018,14/12/2018
Union Public Service Commission (UPSC),Combined Defence Services Exam (CDS I 2019),417,31/10/2018,26/11/2018 Till 0600 PM
Indian Navy (Join IndianNavy),Nausena Bharti 10+2 Intermediate B.Tech Entry July 2019,,3/11/2018,22/11/2018
Union Public Service Commission (UPSC),01/2019 Engineering Service Recruitment 2019,581,26/09/2018,22/10/2018 upto 06 PM Only
Join Indian Army (Government of India) ,10+2 Technical Entry Scheme Course TES 41 Recruitment 2018,90,29/10/2018,27/11/2018
Indo Tibetan Border Police Force (ITBP),Constable in Telecom Recruitment 2018,218,29/10/2018,4/12/2018
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Combined Sub Engineer Recruitment 2018,1477,30/10/2018,30/11/2018
Institute of Banking Personal Selection IBPS,CRP SPL VIII Specialist Officer SO Recruitment 2018,1599,6/11/2018,26/11/2018
The Bihar State Cooperative Bank Ltd,Assistant Manager | Assistant Recruitment 2018,434,26/10/2018,22/11/2018
"Bank Note Press, Dewas (MP) A Unit of SPMCIL",Various Post Recruitment 2018,86,18-Oct,9/11/2018
"National Health Mission, NHM UP",Staff Nurse Recruitment 2018 Through Bridge Course (Ihat),1163,18-Oct,31/10/2018
Canara Bank,"Probationary Officers in JMG Scale I, PGDBF Recruitment 2018",450,23/10/2018,13/11/2018
Staff Selection Commission (SSC),Stenographer Group C | Group D Recruitment 2018,,22/10/2018,20/11/2018 Upto  0500 PM Only
Staff Selection Commission (SSC),"Junior Hindi Translator, Hindi Pradhyapak Recruitment 2018",,22/10/2018,20/11/2018 upto 0500 Pm Only
Ministry of Home Affairs (MHA),Intelligence Bureau IB Security Assistant / Executive Recruitment 2018,1054,20/10/2018,10/11/2018
Bihar Vidhan Sabha (Sachivalaya),Group D Various Post Recruitment 2018,166,23/10/2018,22/11/2018 upto 0500 PM Only
Bihar State Power Holding Company Ltd. BSPHCL,Various Post Recruitment 2018,,16/10/2018,31/10/2018 upto 0600 PM Only
"Eastern Railway (ER), Kolkata",Various Post Trade Apprentice Recruitment 2018,2907,15/10/2018,14/11/2018 upto 0500 PM Only
Uttar Pradesh State and Transport Limited (UPSRTC),Bus Conductor Recruitment 2018 in Various District UP,,9/10/2018,
Bihar Public Service Commission (BPSC),63 Combined State Service Examination 2017,355,13/11/2017,4/12/2017
Indo-Tibetan Border Police Force â ITBP,Constable (Animal Transport) Recruitment 2018,85,15/10/2018,13/11/2018
Union Public Service Commission (UPSC),Combined Geo Scientist and Geologist Recruitment 2018,70,21/03/2018,16/04/2018 upto 0600 PM Only
"Employee State Insurance Corporation, Delhi",Medical Officer (IMO Grade II Allopathic) Recruitment 2018,771,12/10/2018,10/11/2018
Staff Selection Commission (SSC),"Constable GD in CAPF, NIA, SSF, Assam Rifle Recruitment 2018",,17/08/2018,30/09/2018 upto 0500 PM only
Jharkhand Staff Selection Commission (JSSC),"LMV, HMV Vehicle Driver JHPDCE Recruitment 2018",84,15/10/2018,16/11/2018
"Railway Diesel Locomotive Work, DLW Varanasi",Various Trade Apprentice Recruitment 2018,374,8/10/2018,09/11/2018 upto 0445 PM only
Madhya Pradesh Public Service Commission (MPPSC),State Eligibility Test (SET) Examination 2018,,11/10/2018,11/11/2018
National Testing Agency (NTA),CBSE UGC National Eligibility Test December 2018,,1/9/2018,30/09/2018
Chhattisgarh State Power Holding Company (CSPHCL) ,Data Entry Operator Recruitment 2018,,6/10/2018,5/11/2018
Madhya Pradesh Kshetra Vidyut Vitran Company (MPCZ),Various Trade Apprentice Recruitment 2018,973,1/10/2018,31/10/2018
Join Indian Army,Havildar (Surveyor Automated Cartographer) Recruitment 2018,20,5/10/2018,03/11/2018 upto 0500 Pm
Join Indian Army,"JCO Religious Teacher RRT Course 87,88 Recruitment 2018",96,5/10/2018,03/11/2018 upto 0500 PM Only
All India Institute of Medical Science (AIIMS),Combined Nursing Officer (Staff Nurse) Recruitment 2018,2000,8/10/2018,29/10/2018 upto 0500 PM only
Army Welfare Education Society (AWES),Army School TGT | PGT | PRT Recruitment 2018,8000,1/10/2018,24
Indian Coast Guard,Navik Cook | Steward Domestic Branch Recruitment 2018,,15/10/2018,29/10/2018
"Rajasthan Staff Selection Board, Jaipur (RSMSSB)",Anganwadi Supervisor (Women) Recruitment 2018,309,4/10/2018,3/11/2018
Examination Regulatory Authority of Uttar Pradesh,Uttar Pradesh Teacher Eligibility Test (UPTET 2018),,18/09/2018,7/10/2018
"National Health Mission, NHM UP",Staff Nurse & Other Various Post Recruitment 2018,936,18-Sep,10/10/2018
Uttar Pradesh Public Service Commission (UPPSC),Various Post Direct Recruitment 2018,2437,1/10/2018,29/10/2018
Kendriya Vidyalaya Sangathan (KVS),TGT | PGT | PRT | Principal Recruitment 2018,8339,24/08/2018,23/09/2018
Union Public Service Commission (UPSC),Indian Economic Service | Indian Statistical Service Exam 2018,46,21/03/2018,16/04/2018 upto 0600 Pm Only
MP Professional Examination Board (MPPEB Vyapam),Middle School (Madhyamic) Teacher Eligibility Test (MS TET) 2018,5670,28/09/2018,30/10/2018
Council of Scientific and Industrial Research (CSIR),Joint CSR UGC Test for JRF & NET December 2018,,25/09/2018,17/10/2018 (Extended)
Indo-Tibetan Border Police Force â ITBP,Head Constable (Education & Stress Counsellor) Recruitment 2018,73,24/09/2018,23/10/2018
"Delhi High Court, New Delhi",DHC Personal Assistant PA Recruitment 2018,35,22/09/2018,12/10/2018
"ERDO - Education Research and Development Organization, Bihar",BTT | DEC | BEC Contract Based Recruitment 2018,13634,18-Sep,18/10/2018
Bihar State Power Holding Company Limited,Advt No. 08/2018 Various Post Recruitment 2018,2050,18/09/2018,08/10/2018 upto 0600 PM Only
Institute of Banking Personal Selection (IBPS),CRP Clerk VIII Recruitment 2018,7275,18/09/2018,10/10/2018
Union Public Service Commission (UPSC),Combined Medical Services Examination 2018,454,2/5/2018,25/05/2018 upto 0600 PM Only
Indian Navy (Nausena Bharti),Executive Branch (Logistics & Law) Recruitment 2018,37,15/09/2018,5/10/2018
Staff Selection Commission (SSC),Stenographer Group C | Group D Recruitment 2017,,19/06/2017,15/07/2017 Upto  0500 PM Only
Vijay Bank (VB),Assistant Manager in Credit Recruitment 2018,330,12/9/2018,27/09/2018
Madhya Pradesh Professional Examination Board (MPPEB),High School Teacher Eligibility Test (TET),17000,11/9/2018,30/10/2018
"Northern Coalfield Limited (NCL, Singrauli)",Various Operator Recruitment 2018,839,18-Sep,24/09/2018
Employee State Insurance Corporation (ESIC),Social Security Officer SSO / Manager II Recruitment 2018,539,7/9/2018,5/10/2018
Rajasthan Vidhut VItran Nigam Limited (RVVUNL),Combined Technical Helper II Recruitment 2018,2412,7/9/2018,21/09/2018
Central Board of Secondary Education (CBSE),Central Teacher Eligibility Test CTET September 2018,,1/8/2018,27/08/2018
Rastriya Ispat Nigam Limited (Vizag Steel),Junior Trainee Recruitment 2018,664,5/9/2019,25/09/2019
Uttrakhand Public Service Commission (UKPSC),Lecturer in Various Subject Direct Recruitment 2018,917,4/9/2018,10/10/2018
Security and Exchange Board of India (SEBI),Officer Grade A (Assistant Manager) Recruitment 2018,120,15/09/2018,7/10/2018
Naval Dockyard HQ (Mumbai),Trade Apprentice Recruitment 2018,318,2/9/2018,21/09/2018
Staff Selection Commission (SSC),Various Selection Post Recruitment 2018,1136,5/9/2018,12/10/2018 Upto 0500 PM Only
Union Public Service Commission (UPSC),Civil Services and Indian Forest Examination 2018,892,7/2/2018,06/03/2018 Upto 0600 PM Only
Haryana Public Service Commission (HPSC),H.C.S. (Judicial Branch) Civil Judge Recruitment 2018,107,1/9/2018,30/09/2018
"Madhya Pradesh Professional Examination Board (MPPEB, Vyapam)",MAPIT E Governance Accountant and Other Post Recruitment 2018,150,1/9/2018,24/09/2018
"Panchayati Raj Department, PRD Bihar",Technical Assistant | Accountant Cum IT Assistant Recruitment 2018,4192,28/08/2018,27/09/2018 upto 0300 PM Only
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Assistant Accountant / Auditor Recruitment 2016,2874,13/06/2016,30/07/2016
Haryana Staff Selection Commission HSSC,Group D Various Post Recruitment 2018,18218,29/08/2018,24/09/2018 (Extended)
"Madhya Pradesh High Court, Jabalpur",English Stenographer | Law Clerk | Translator Recruitment 2018,47,10/5/2018,11/6/2018
National Bank for Agriculture and Rural Development (NABARD),Development Assistant Recruitment 2018 Online Form,62,27/08/2018,12/9/2018
Chhattisgarh Police,Sub Inspector and Other Post Recruitment 2018,,24/08/2018,16/09/2018
"Rajasthan Staff Selection Board, Jaipur (RSMSSB)",NTT Teacher Recruitment 2018,1310,29/09/2018,28/10/2018
MP Trade and Investment Facilitation Corporation Ltd (MPTRIFAC),Assistant Grade I & II | Junior Engineer Recruitment 2018,45,18-Aug,26/08/2018
LIC Housing Finance Ltd (LIF HFL),Assistant | Associates & Manager Recruitment 2018,300,21/08/2018,6/9/2018
Indian Navy (Nausena Bharti),"Short Service Commission in ATC, Pilot, Observer Recruitment 2018",22,25/08/2018,14/09/2018
Uttar Pradesh Public Service Commission (UPPSC),Assistant Conservator of Forest and Range Forest Officer Recruitment 2017,137,5/5/2017,1/6/2017
Indo-Tibetan Border Police Force â ITBP,Sub Inspector | Assistant Sub Inspector | Head Constable | Constable Recruitment 2018,405,25/09/2018,
Reserve Bank of India (RBI),Specialist Officer Various Post Recruitment 2018,60,17/08/2018,7/9/2018
Federal Bank,Clerk | Officer Recruitment 2018,,14/08/2018,27/08/2018
Rajasthan Subordinate and Ministerial Service Selection Board,RSMSSB Pharmacist Recruitment 2018,1736,16/08/2018,15/09/2018
Madhya Pradesh Jal Nigam Maryadit (MPJN),Manager & Dy. Manager Recruitment 2018,40,16/08/2018,5/9/2018
Uttar Pradesh Public Service Commission (UPPSC),Staff Nurse Male / Female Recruitment 2017,3838,12/1/2017,9/2/2017
Union Public Service Commission (UPSC),Engineering Service Examination 2018,588,9/8/2018,20/08/2018 Upto 0600 PM Only
Institute of Banking Personal Selection (IBPS),Probationary Officer / Management Trainee Recruitment 2018,4102,14/08/2018,4/9/2018
Sashastra Seema Bal (SSB),SI | ASI | Head Constable Recruitment 2018,181,11/8/2018,9/9/2018
Union Public Service Commission (UPSC),Combined Defence Service Exam II Recruitment 2018,414,8/8/2018,03/09/2018 Upto 0600 PM Only
Sanjay Gandhi Post Graduate Institute of Medical Science ,"SGPGI Lucknow, Various Post Recruitment 2018",178,2/8/2018,1/9/2018
Madhya Pradesh Professional Examination Board (MPPEB),Jail Prahari (Constable) Recruitment 2018,475,11/8/2018,27/08/2018
Uttar Pradesh ITI Admission 2018,UPITI 2018 Regular / Private Online Application Form,,30/04/2018,25/05/2018
"Madhya Pradesh High Court, MPHC",Civil Judge Grade II Recruitment 2018,140,5/8/2018,4/9/2018
Rajasthan Education Department,Grade III Level II Teacher Recruitment 2018,28000,3/8/2018,23/08/2018
"Railway Recruitment Cell, RRC Chennai",Safai Wala & Paramedical Staff Contact Basis Recruitment 2018,328,27/07/2018,27/08/2018 upto 0500 PM Only
Indian Bank | Manipal School of Banking,Probationary Officer Scale I Through PGDBF Course Admission 2018,417,1/8/2018,27/08/2018
Bhabha Atomic Research Center (BARC),Stipendiary Trainees Various Post Recruitment 2018,224,28/07/2018,20/08/2018
The Indian Navy (Nausena Bharti),Engineer as a Short Service Commission Officer June 2019 Batch,118,4/8/2018,24/08/2018
Defence Research & Development Organization (DRDO CEPTAM-09),Senior Technical Assistant Various Post Recruitment 2018,494,4/8/2018,13/09/2018 (Extended)
Railway Dedicated Freight Corridor Corporation of India (DFCCIL),Executive | Junior Executive | Multi Tasking MTS Recruitment 2018,1584,1/8/2018,31/08/2018
Jharkhand Staff Selection Commission (JSSC),Paramedical & Nursing Staff in Jail Hospitals Recruitment 2018,113,1/8/2018,30/08/2018
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Tubewell Operator Recruitment 2016 Online Form,3210,8/7/2016,27/07/2016
Rajasthan Jail Department,Jail Prahari (Warden) Recruitment 2018,670,26/07/2018,16/08/2018
Sanjay Gandhi Postgraduate Institute of Medical Science (SGPGI),UP Lucknow Sister Grade II (Staff Nurse) Recruitment 2018,495,9/7/2018,8/8/2018
Madhya Pradesh Professional Examination Board (MPPEB),Sub Engineer Group 3 Recruitment 2018,1073,27/07/2018,12/8/2018
Chhattisgarh State Power Holding Company (CSPDCL),Various Post Recruitment 2018,125,19/07/2018,8/8/2018
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),Agriculture Service Technical Assistant Class III Recruitment 2018,2059,21/07/2018,23/08/2018
Rajasthan Police,Constable in MBC Batallion Banswada Recruitment 2018,623,21/07/2018,10/8/2018
<title>MPWZ Various Post Online Form 2018,<title>MPWZ Various Post Online Form 2018,62,14/07/2018,3/8/2018
"Indian Navy HQ VASCO-DA-GAMA, Goa",Group C Various Post Recruitment 2018,76,18/07/2018,04/08/2018 (upto 05 PM Only
The New India Assurance Company Ltd (NIACL),Assistant Recruitment in Various State 2018,685,16/07/2018,31/07/2018
Join Indian Coast Guard (Ministry of Defence),Yantrik 01/2019 Batch Recruitment 2018,,23/07/2018,01/08/2018 upto 0500 PM Only
Railway Protection Force (RPF),Constable Male / Female Recruitment 2018,8619,1/6/2018,30/06/2018
Join Indian Army,52 SSC Men & 23 SSC Women Recruitment 2018,189,9/7/2018,12/8/2018
Examination Regulation Authority UP Allahabad,UP DELEd (BTC) Admission Online Form 2018,,11/5/2018,31/05/2018
Bihar State Power Holding Company Limited,Advt No. 06/07-2018 Junior Engineer Recruitment 2018,575,7/6/2018,25/07/2018 upto 0600 PM Only
"Department of Medical, Health and Family Welfare Rajasthan",Female Health Worker Direct Recruitment 2018,5602,22/06/2018,23/07/2018
Delhi Subordinate Service Selection Board (DSSSB),Various Post Recruitment 2018,1650,13/07/2018,13/08/2018
Madhya Pradesh State Education Center (MPSEC),MP BTC (D.El.Ed) Admission 2018,,28/06/2018,12/7/2018
Rajasthan Subordinate and Ministerial Service Selection Board,RSMSSB Agriculture Supervisor (Krishi Parvekshak) Recruitment 2018,1832,5/7/2018,3/8/2018
Uttar Pradesh National Health Mission UPNHM,Various Post Recruitment 2018,2390,18-Jun,18/07/2018
UP Join Entrance Examination JEECUP 2018,Polytechnic Diploma Admission 2018,,21/12/2017,12/3/2018
Uttar Pradesh Public Service Commission (UPPSC),Combined State Upper Subordinate Service Exam PCS Recruitment 2018,917,6/7/2018,2/8/2018
Airport Authority of India (AAI) ,Various Junior Executive Recruitment 2018,908,16/07/2018,15/09/2018
Rajasthan Subordinate and Ministerial Service Selection Board,RSMSSB Stenographer Recruitment 2018,1085,12/7/2018,10/8/2018
Staff Selection Commission (SSC),Junior Engineer Recruitment 2017,,21/10/2017,17/11/2017 Upto 0500 PM Only
Integrated Coach Factory (ICF) Chennai,Various Apprentice Post Recruitment 2018,697,8/7/2018,08/08/2018 upto 0500 PM Only
"Railway Recruitment, Bilaspur (SECR)",Various Apprentice Post Recruitment 2018,432,1/7/2018,31/07/2018 upto 0600 PM Only
Indian Air Force (Bharitya Vayu Sena),X Group | Y Group Airmen Recruitment Online Form 2018,,3/7/2018,25/07/2018
Rajasthan Vidhut VItran Nigam Limited (RVVUNL),Combined Technical Helper Recruitment 2018,2433,2/7/2018,31/07/2018
Reserve Bank of India (RBI),Officers in Grade B Recruitment 2018,166,3/7/2018,23/07/2018
Join Indian Coast Guard (Ministry of Defence),Navik (General Duty) 10+2 Recruitment 2018,,1/7/2018,10/07/2018 upto 0500 PM Only
Madhya Pradesh Professional Examination Board (MPPEB),Combined Assistant Grade III | Stenographer | DEO | Other Post Recruitment 2018,2714,22/06/2018,10/7/2018
Madhya Pradesh Professional Examination Board (MPPEB),Combined Assistant Auditor | Accountant | Other Post Recruitment 2018,356,29/06/2018,13/07/2018
Rajasthan Subordinate and Ministerial Service Selection Board,RSMSSB Librarian Grade III Recruitment 2018,700,28/06/2018,27/07/2018
Delhi Subordinate Service Selection Board (DSSSB),Primary Teacher Recruitment 2018,4366,2/7/2018,30/07/2018
"Dr. A.P.J. Abdul Kalam Technical University , AKTU, UPTU Lucknow",Uttar Pradesh State Entrance Examination UPSEE 2018,,23/01/2018,30/03/2018 Upto 0500 PM Only
Uttar Pradesh Pre Medical Exam (UPNEET),Online Counseling | Registration | Choice Filling,,20/06/2018,24/06/2018
The South Indian Bank Ltd (SIB),Probationary Officer Scale I Through PGDBF Course Admission 2018,100,0/06/2018,27/06/2018
Central Board of Secondary Education (CBSE),Joint Entrance Examination (JEE MAIN) 2018,,1/12/2017,1/1/2018
Central Board of Secondary Education CBSE,National Eligibility Cum Entrance Test (NEET 2018),,8/2/2018,12/03/2018 (Extended)
Rajasthan Rajya Vidhut Utpadan Nigam Ltd (RVUNL),JE / AE Other Various Post Recruitment 2018,1197,14/06/2018,2/7/2018
Bank of Baroda (BOB),JMG Scale I PO Admission to Baroda Manipal School of Banking,600,12/6/2018,2/7/2018
Indian Institute of Technology (IIT Kanpur),IITK Various Post Recruitment 2018,77,18/05/2018,19/06/2018
MP Poorv Kshetra Vidhut Vitaran Company Ltd (MPEZ) & MPPTCL,Various Post TA / LA / JE / Accountant Recruitment 2018,229,2/6/2018,1/7/2018
Join Indian Navy (Nausena Bharti),"Stewards, Chefs And Hygienists for MR April 2019 Batch Recruitment",,18/06/2018,1/7/2018
"The National University of Advanced Legal Studies, Kochi, Kerala, India ",Common Law Admission Test (CLAT 2018) ,,1/1/2018,31/03/2018
Rajasthan Public Service Commission (RPSC),School Lecturer (School Education) Recruitment 2018,5000,17/05/2018,16/06/2018
Institute of Banking Personal Selection,IBPS CRP VII Office Scale I & Office Assistant Recruitment 2018,,8/6/2018,2/7/2018
Union Public Service Commission (UPSC),National Defence Academy & Naval Academy Exam II 2018,383,6/6/2018,02/07/2018 upto 0600 PM only
Madhya Pradesh Public Service Commission (MPPSC),Granthapal (Librarian) & Krida Adhikari (Sports Officer) Recruitment 2018,619,5/6/2018,4/7/2018
Railway Protection Force (RPF),Sub Inspector SI Recruitment 2018,1120,1/6/2018,30/06/2018
Uttar Pradesh Joint Entrance Exam | JEE BEd,Conducted By : University of Lucknow (UOL),,15/02/2018,23/03/2018(Extended)
Uttar Pradesh Public Service Commission (UPPSC),LT Grade Assistant Teacher Recruitment 2018,10768,15/03/2018,12/4/2018
"National Health Mission NHM, Uttar Pradesh",Staff Nurse | Lab Technician | Microbiologist Recruitment 2018,817,18-May,2/6/2018
Rajasthan Subordinate Service Selection Board,RSMSSB Physical Training Instructor (PTI) Recruitment 2018,4500,31/05/2018,29/06/2018
Uttar Pradesh Subordinate Service Selection Commission (UPSSSC),"Gram Panchyat Adhikari , Gram Vikas Adhikari and Samaj Kalyan Prayveksh Recruitment 2018",1953,30/05/2018,25/06/2018
Career Indian Air Force Recruitment 2018,Airforce Common Admission Online Test (AFCAT 02/2018),,16/06/2018,15/07/2018
Indira Gandhi Center for Atomic Research (IGCAR),Various Post Recruitment 2018,248,14/05/2018,17/06/2018 upto 0500 PM only
Bihar Central Selection Board of Constable CSBC,Bihar Police Constable Recruitment 2018,11865,28/05/2018,30/06/2018
Indian Navy (Join IndianNavy),Nausena Bharti 10+2 Intermediate B.Tech Entry January 2019,,2/6/2018,21/06/2018
"Department of Police, Rajasthan",Constable GD and Other Post Recruitment 2018,13142,25/05/2018,14/06/2018
The Indian Navy (Join Indian Navy),Nausena Bharti Sailor Entry 10+2 SSR | AA Recruitment 2018,,2/6/2018,15/06/2018
State Power Companies of Rajasthan,Rajasthan Vidhut RRVUNL Various Post Recruitment 2018,3220,22/05/2018,11/6/2018
Bihar Police Sub-Ordinate Services Commission BPSSC,Sub Inspector SI in Bihar Excise Department Recruitment 2018,126,22/05/2018,30/06/2018
Uttar Pradesh Public Service Commission (UPPSC),Various Post Direct Recruitment 2018,1105,18/05/2018,14/06/2018
Defence Research and Development Organisation (DRDO),Scientist Grade B Recruitment 2018,41,12/5/2018,2/6/2018
Indian Army (Permanent Commission),Technical Entry Scheme (10+2 TES-40) Recruitment 2018,90,16/05/2018,14/06/2018 upto 1159 AM Only
South Indian Bank,SIB PO Probationary Officer Scale I Recruitment 2018,150,16/05/2018,25/05/2018
Bihar State Power Holding Company Limited,Advt No. 05/2018 Account Officer Recruitment 2018,30,15/05/2018,05/06/2018 upto 0600 PM Only
"Public Service Commission, Madhya Pradesh",Associate Professor Recruitment 2018,32,15/05/2018,14/06/2018
High Court of Judicature at Allahabad,Higher Judicial Service HJS 2018 Recruitment,37,15/05/2018,14/06/2018
Bihar State Power (Holding) Company Limited, A Govt of Bihar Undertaking Junior Account Clerk Recruitment 2018,350,11/5/2018,31/05/2018 upto 0600 PM Only
Rajasthan Subordinate and Ministerial Services Selection Board (RSMSSB) ,Lower Division Clerk LDC & Junior Assistant Recruitment 2018,11255,10/5/2018,15/06/2018(Extended)
Rajasthan Subordinate Service Selection Board (RSMSSB),Lab Assistant (LA) Recruitment 2018,1200,14/06/2018,18/07/2018
Join Indian Coast Guard,Assistant Commandant AC Men and Women Group A Recruitment 2018,,19/05/2018,01/06/2018 upto 0500 PM Only
Rajasthan Public Service Commission (RPSC),Senior Grade II Teacher (TGT) TSP / Non TSP Area Recruitment 2018,9000,10/5/2018,9/6/2018
"Madhya Pradesh Public Service Commission (MPPSC, Indore)",Assistant Registrar (Sahayak Kulsachiv) Recruitment 2018,29,10/5/2018,9/6/2018
"High Court of Jharkhand, Ranchi",English Stenographer & Personal Assistant Recruitment 2018,181,10/5/2018,24/05/2018
Bihar State Power (Holding) Company Limited, A Govt of Bihar Undertaking Assistant Recruitment 2018,90,8/5/2018,29/05/2018 upto 0600 PM Only
Staff Selection Commission (SSC),Combined Graduate Level CGL Recruitment 2018,,5/5/2018,5/6/2017
Broadcasting Engineering Consultants India Limited (BECIL),Programme Coordinator Contract Basis Recruitment 2018,300,28/04/2018,21/05/2018
"Naval Dockyard, Mumbai (Ministry of Defence)",Navy Group C Fire Man Recruitment 2018,95,30/04/2018,19/05/2018
Madhya Pradesh Public Service Commission (MPPSC),State Services Examination | Forest Exam Recruitment 2018,308,18/12/2017,8/1/2018
Chhattisgarh Public Service Commission (CGPCS),State Service Prelim Exam Recruitment 2017,303,9/12/2017,7/1/2018
Central Board of Secondary Education (CBSE),UGC National Eligibility Test / Lecturer / JRF Examination July 2018,,6/3/2018,12/4/2018
Rajasthan Public Service Commission (RPSC),Sub Inspector | Platoon Commander Recruitment Online Form 2018,330,25/04/2018,24/05/2018
MP Madhya Pradesh High Court Online Form 2018,"Cook, Sweeper, Gardener, Peon Recruitment 2018",40,23/04/2018,22/05/2018
Rajasthan Education Department (RED),Primary / Upper Primary School Grade III Teacher Recruitment 2018,26000,14/04/2018,30/04/2018
Rajasthan Public Service Commission (RPSC),Senior Grade II Teacher (TGT) TSP / Non TSP Area Recruitment 2017-18,707,17/04/2018,12/5/2018
Rajasthan Public Service Commission (RPSC),School Lecturer Recruitment 2017-18,134,20/04/2018,9/5/2018
Rajasthan Public Service Commission (RPSC),Physiotherapist Recruitment 2018 ,30,17/04/2018,1/5/2018
Rajasthan Subordinate and Ministerial Service Selection Board (RSMSSB),Various Post in Various Department Recruitment 2018,2512,22/03/2018,20/04/2018
State Bank of India (SBI),Probationary Officer (PO) Recruitment 2018,2000,21/04/2018,13/05/2018
National Thermal Power Corporation Limited (NTPC),Diploma Trainee Recruitment 2018,362,18/04/2018,9/5/2018
<title>Bihar Police ASI Steno Mains Result 2019,<title>Bihar Police ASI Steno Mains Result 2019,174,18/04/2018,24/05/2018
Haryana Staff Selection Commission (HSSC),Haryana Police Department Constable ans SI Recruitment 2018,7110,28/04/2018,28/05/2018
Rajasthan Public Service Commission (RPSC),Assistant Agriculture Research Officer (AARO) Recruitment 2018,52,23/05/2018,13/06/2018
Madhya Pradesh High Court (MPHC),District Judge Entry Level (MPHJS) Recruitment 2018,28,13/04/2018,30/04/2018
Madhya Pradesh Public Service Commission (MPPSC),Assistant Professor Recruitment 2017,2968,15/01/2018,10/05/2018(Extended)
Kendirya Vidyalaya Sangathan (KVS),Departmental Competitive Exam Through LDCE 2018,5193,11/4/2018,25/04/2018
"Department of Medical, Health & Family Welfare, Rajasthan",Male / Female Staff Nurse Direct Recruitment 2018,4514,12/4/2018,12/5/2018
Rajasthan Public Service Commission (RPSC),Various Advertisement No and Various Post Recruitment 2018,,,
Indian Space Research Organization (ISRO),Junior Personal Assistant | Stenographer Recruitment 2018,171,10/4/2018,30/04/2018
Madhya Pradesh Professional Examination Board (MPPEB),Mahila Swastha Karyakarta Prashikshan (ANM) Test 2018,740,9/4/2018,23/04/2018
